SL/NO,State,District,Sub-district,Code Number
1732,NE,NAGALAND (KOHIMA),MOKOKCHUNG,369
1733,NE,NAGALAND (KOHIMA),MON,3869
1734,NE,NAGALAND (KOHIMA),PHEK,3865
1735,NE,NAGALAND (KOHIMA),TUENGSANG,3861
1736,NE,NAGALAND (KOHIMA),WOKHA,3860
1737,NE,NAGALAND (KOHIMA),ZUENHEBOTO,3867
1738,NE,TRIPURA (AGARTALA),AGARTALA,381
1739,NE,TRIPURA (AGARTALA),AMBASA,3826
1740,NE,TRIPURA (AGARTALA),BELONIA,3823
1741,NE,TRIPURA (AGARTALA),DHARAM NAGAR,3822
1742,NE,TRIPURA (AGARTALA),KAILSAHAR,3824
1743,NE,TRIPURA (AGARTALA),KHOWAI,3825
1744,NE,TRIPURA (AGARTALA),R.K.PUR,3821
1745,OR,BALANGIR,BALANGIR,6652
1746,OR,BALANGIR,BIRMAHARAJPUR,6651
1747,OR,BALANGIR,DUNGURIPALI,6653
1748,OR,BALANGIR,KANTABHANJI,6657
1749,OR,BALANGIR,PATNAGARH,6648
1750,OR,BALANGIR,SONAPUR,6654
1751,OR,BALANGIR,TITLAGARH,6655
1752,OR,BALASORE,BALASORE,6782
1753,OR,BALASORE,BASTA,6781
1754,OR,BALASORE,BHADRAK,6784
1755,OR,BALASORE,CHANDBALI,6786
1756,OR,BALASORE,SORO,6788
1757,OR,BARIPADA,BANGIRIPOSI,6791
1758,OR,BARIPADA,BARIPADA,6792
1759,OR,BARIPADA,BETANATI,6793
1760,OR,BARIPADA,JASHIPUR,6797
1761,OR,BARIPADA,KARANJIA,6796
1762,OR,BARIPADA,RAIRANGPUR,6794
1763,OR,BARIPADA,UDALA,6795
1764,OR,BERHAMPUR,ASKA,6822
1765,OR,BERHAMPUR,BERHAMPUR,680
1766,OR,BERHAMPUR,BHANJANAGAR,6821
1767,OR,BERHAMPUR,BUGUDA,6818
1768,OR,BERHAMPUR,CHHATRAPUR,6811
1769,OR,BERHAMPUR,DIGAPAHANDI,6814
1770,OR,BERHAMPUR,KHALIKOTE,6810
1771,OR,BERHAMPUR,MOHANA,6816
1772,OR,BERHAMPUR,PARLAKHEMUNDI,6815
1773,OR,BERHAMPUR,R.UDAYIGIRI,6817
1774,OR,BERHAMPUR,SURADA,6819
1775,OR,BHAWANIPATNA,BHAWANIPATNA,6670
1776,OR,BHAWANIPATNA,DHARAMGARH,6672
1777,OR,BHAWANIPATNA,JAYAPATNA,6673
1778,OR,BHAWANIPATNA,KOMANA,6679
1779,OR,BHAWANIPATNA,M.RAMPUR,6676
1780,OR,BHAWANIPATNA,NARLAROAD,6677
1781,OR,BHAWANIPATNA,NOWPARATAN,6678
1782,OR,BHAWANIPATNA,RAJKHARIAR,6671
1783,OR,BHAWANIPATNA,T.RAMPUR,6675
1784,OR,BHUBANESWAR (PURI),BALUGAON,6756
1785,OR,BHUBANESWAR (PURI),BHUBANESHWAR,674
1786,OR,BHUBANESWAR (PURI),DASPALLA,6757
1787,OR,BHUBANESWAR (PURI),KHURDA,6755
1788,OR,BHUBANESWAR (PURI),NAYAGARH,6753
1789,OR,BHUBANESWAR (PURI),NIMAPARA,6758
1790,OR,BHUBANESWAR (PURI),PURI,6752
1791,OR,CUTTACK,ATHGARH,6723
1792,OR,CUTTACK,CUTTACK,671
1793,OR,CUTTACK,DHANMANDAL,6725
1794,OR,CUTTACK,JAGATSINGHPUR,6724
1795,OR,CUTTACK,JAJAPUR ROAD,6726
1796,OR,CUTTACK,JAJAPUR TOWN,6728
1797,OR,CUTTACK,KENDRAPARA,6727
1798,OR,CUTTACK,NARSINGHPUR,6721
1799,OR,CUTTACK,PARDIP,6722
1800,OR,CUTTACK,PATTAMUNDAI,6729
1801,OR,DHENKANAL,ANANDAPUR,6731
1802,OR,DHENKANAL,ANUGUL,6764
1803,OR,DHENKANAL,ATHMALLIK,6763
1804,OR,DHENKANAL,BARBIL,6767
1805,OR,DHENKANAL,CHHENDIPADA,6761
1806,OR,DHENKANAL,DHENKANAL,6762
1807,OR,DHENKANAL,GHATGAON,6733
1808,OR,DHENKANAL,HINDOL,6732
1809,OR,DHENKANAL,KAMAKHYANAGAR,6769
1810,OR,DHENKANAL,KEONJHAR,6766
1811,OR,DHENKANAL,PALLA HARA,6765
1812,OR,DHENKANAL,PARAJANG,6768
1813,OR,DHENKANAL,TALCHER,6760
1814,OR,DHENKANAL,TELKOI,6735
1815,OR,KORAPUT,BISAM CUTTACK,6863
1816,OR,KORAPUT,BORIGUMA,6860
1817,OR,KORAPUT,GUDARI,6862
1818,OR,KORAPUT,GUNUPUR,6857
1819,OR,KORAPUT,JEYPORE,6854
1820,OR,KORAPUT,JHARIGAN,6867
1821,OR,KORAPUT,KALIMELA,6850
1822,OR,KORAPUT,KASHIPUR,6865
1823,OR,KORAPUT,KORAPUT,6852
1824,OR,KORAPUT,LAXMIPUR,6855
1825,OR,KORAPUT,MALKANGIRI,6861
1826,OR,KORAPUT,MATHILI,6864
1827,OR,KORAPUT,MOTU,6859
1828,OR,KORAPUT,NANDAPUR,6868
1829,OR,KORAPUT,NOWRANGAPUR,6858
1830,OR,KORAPUT,PAPADHANDI,6869
1831,OR,KORAPUT,RAYAGADA,6856
1832,OR,KORAPUT,SUNABEDA,6853
1833,OR,KORAPUT,UMERKOTE,6866
1834,OR,PHULBANI,BALIGUDA,6846
1835,OR,PHULBANI,BOUDH,6841
1836,OR,PHULBANI,DARINGBADI,6849
1837,OR,PHULBANI,G.UDAYAGIRI,6847
1838,OR,PHULBANI,KANTAMAL,6844
1839,OR,PHULBANI,KOTAGARH,6848
1840,OR,PHULBANI,PHIRINGIA,6845
1841,OR,PHULBANI,PHULBANI,6842
1842,OR,PHULBANI,PURUNA KATAK,6843
1843,OR,PHULBANI,TUMUDIBANDHA,6840
1844,OR,SAMBALPUR,ATTABIRA,6682
1845,OR,SAMBALPUR,BAGDIHI,6640
1846,OR,SAMBALPUR,BARGARH,6646
1847,OR,SAMBALPUR,BARKOT,6643
1848,OR,SAMBALPUR,DEODGARH,6641
1849,OR,SAMBALPUR,JAMANKIRA,6649
1850,OR,SAMBALPUR,JHARSUGUDA,6645
1851,OR,SAMBALPUR,JUJUMURA,6681
1852,OR,SAMBALPUR,KUCHINDA,6642
1853,OR,SAMBALPUR,NAKTIDEUL,6647
1854,OR,SAMBALPUR,PADMAPUR,6683
1855,OR,SAMBALPUR,PAIKAMAL,6684
1856,OR,SAMBALPUR,RAIRAKHOL,6644
1857,OR,SAMBALPUR,SAMBALPUR,663
1858,OR,SAMBALPUR,SOHELA,6685
1859,OR,SUNDARGARH,BANAIGARH,6626
1860,OR,SUNDARGARH (ROURKELA),HEMGIRI,6621
1861,OR,SUNDARGARH,LAHUNIPARA,6625
1862,OR,SUNDARGARH (ROURKELA),RAJGANGPUR,6624
1863,OR,SUNDARGARH,ROURKELA,661
1864,OR,SUNDARGARH (ROURKELA),SUNDARGARH,6622
1865,PB,AMRITSAR,AJNALA,1858
1866,PB,AMRITSAR,AMRITSAR,183
1867,PB,AMRITSAR,GOINDWAL,1859
1868,PB,AMRITSAR,PATTI,1851
1869,PB,AMRITSAR,RAYYA,1853
1870,PB,AMRITSAR,TARAN TARAN,1852
1871,PB,BHATINDA,BHATINDA,164
1872,PB,BHATINDA,MANSA,1652
1873,PB,BHATINDA,PHULMANDI,1651
1874,PB,BHATINDA,RAMAN,1655
1875,PB,BHATINDA,SARDULGARH,1659
1876,PB,CHANDIGARH,CHANDIGARH,172
1877,PB,FEROZEPUR,ABOHAR,1634
1878,PB,FEROZEPUR,FARIDAKOT,1639
1879,PB,FEROZEPUR,FAZILKA,1638
1880,PB,FEROZEPUR,FEROZEPUR,1632
1881,PB,FEROZEPUR,GURUHARSAHAI,1685
1882,PB,FEROZEPUR,KOTKAPURA,1635
1883,PB,FEROZEPUR,MALAUT,1637
1884,PB,FEROZEPUR,MOGA,1636
1885,PB,FEROZEPUR,MUKTASAR,1633
1886,PB,FEROZEPUR,ZIRA,1682
1887,PB,HOSIARPUR,BALACHAUR,1885
1888,PB,HOSIARPUR,DASUA,1883
1889,PB,HOSIARPUR,GARHASHANKER,1884
1890,PB,HOSIARPUR,HOSHIARPUR,1882
1891,PB,HOSIARPUR,TANDA URMAR,1886
1892,PB,JALANDHAR,JALLANDHAR,181
1893,PB,JALANDHAR,KAPURTHALA,1822
1894,PB,JALANDHAR,NAKODAR,1821
1895,PB,JALANDHAR,NAWANSHAHAR,1823
1896,PB,JALANDHAR,PHAGWARA,1824
1897,PB,JALANDHAR,PHILLAUR,1826
1898,PB,JALANDHAR,SULTANPUR LODHI,1828
1899,PB,LUDHIANA,JAGRAON,1624
1900,PB,LUDHIANA,LUDHIANA,161
1901,PB,LUDHIANA,SAMRALA,1628
1902,PB,PATHANKOT,BATALA,1871
1903,PB,PATHANKOT,DINANAGAR,1875
1904,PB,PATHANKOT,GURDASPUR,1874
1905,PB,PATHANKOT,JUGIAL,1870
1906,PB,PATHANKOT,PATHANKOT,186
1907,PB,PATHANKOT,QUADIAN,1872
1908,PB,PATIALA,NABHA,1765
1909,PB,PATIALA,PATIALA,175
1910,PB,PATIALA,RAJPURA,1762
1911,PB,PATIALA,SAMANA,1764
1912,PB,PATIALA,SARHIND,1763
1913,PB,ROPAR,KHARAR,160
1914,PB,ROPAR,NANGAL,1887
1915,PB,ROPAR,ROPAR,1881
1916,PB,SANGRUR,BARNALA,1679
1917,PB,SANGRUR,MALERKOTLA,1675
1918,PB,SANGRUR,SANGRUR,1672
1919,PB,SANGRUR,SUNAM,1676
1920,RJ,AJMER,AJMER,145
1921,RJ,AJMER,BEAWAR,1462
1922,RJ,AJMER,KEKRI (E),1467
1923,RJ,AJMER,KEKRI (W) (BHINAI),1466
1924,RJ,AJMER,KISHANGARH (N) (ROOPANGARH),1497
1925,RJ,AJMER,KISHANGARH (S),1463
1926,RJ,AJMER,NASIRABAD,1491
1927,RJ,AJMER,SARWAR,1496
1928,RJ,ALWAR,ALWAR,144
1929,RJ,ALWAR,BANSUR,1461
1930,RJ,ALWAR,BEHROR,1494
1931,RJ,ALWAR,KISHANGARHBAS (KHAIRTHAL),1460
1932,RJ,ALWAR,LAXMANGARH (KHERLI),1492
1933,RJ,ALWAR,MANDAWAR,1495
1934,RJ,ALWAR,RAJGARH,1464
1935,RJ,ALWAR,RAMGARH,1468
1936,RJ,ALWAR,THANAGHAZI,1465
1937,RJ,ALWAR,TIJARA (N) (BHIWADI),1493
1938,RJ,ALWAR,TIJARA (S),1469
1939,RJ,BANSWARA,ASPUR,2967
1940,RJ,BANSWARA,BAGIDORA,2968
1941,RJ,BANSWARA,BANSWARA,2962
1942,RJ,BANSWARA,DUNGARPUR,2964
1943,RJ,BANSWARA,GERHI (PARTAPUR),2963
1944,RJ,BANSWARA,GHATOL,2961
1945,RJ,BANSWARA,KUSHALGARH,2965
1946,RJ,BANSWARA,SAGWARA,2966
1947,RJ,BARMER,BARMER(C),2982
1948,RJ,BARMER,BARMER (E) (GUDDA),2983
1949,RJ,BARMER,BARMER (N) (KANOT),2902
1950,RJ,BARMER,BARMER (S) SINDARI,2984
1951,RJ,BARMER,BARMER (SW) (DHORIMANNA),2986
1952,RJ,BARMER,BARMER (W) (RAMSAR),2985
1953,RJ,BARMER,CHOHTAN (N),2989
1954,RJ,BARMER,CHOHTAN (S) (GANGASAR),2903
1955,RJ,BARMER,PACHPADRA (E) (KORNA),2980
1956,RJ,BARMER,PACHPADRA (W) (BALOTRA),2988
1957,RJ,BARMER,SHEO (E),2987
1958,RJ,BARMER,SHEO (W) (HARSANI),2981
1959,RJ,BARMER,SIWANA (E) (SAMDARI),2900
1960,RJ,BARMER,SIWANA (W),2901
1961,RJ,BHARATPUR,BARI,5647
1962,RJ,BHARATPUR,BASERI,5646
1963,RJ,BHARATPUR,BAYANA,5648
1964,RJ,BHARATPUR,BHARATPUR,5644
1965,RJ,BHARATPUR,DEEG,5641
1966,RJ,BHARATPUR,DHOLPUR,5642
1967,RJ,BHARATPUR,KAMAN,5640
1968,RJ,BHARATPUR,NADBAI,5643
1969,RJ,BHARATPUR,RUPBAS,5645
1970,RJ,BHILWARA,ASIND,1480
1971,RJ,BHILWARA,BANERA,1487
1972,RJ,BHILWARA,BHILWARA,1482
1973,RJ,BHILWARA,HURDA (GULABPURA),1483
1974,RJ,BHILWARA,JAHAZPUR,1485
1975,RJ,BHILWARA,KOTRI,1488
1976,RJ,BHILWARA,MANDAL,1486
1977,RJ,BHILWARA,MANDALGARH,1489
1978,RJ,BHILWARA,RAIPUR,1481
1979,RJ,BHILWARA,SHAHAPURA,1484
1980,RJ,BIKANER,BIKANER(C) (JAIMALSAR),1521
1981,RJ,BIKANER,BIKANER (E) (JAMSAR),1522
1982,RJ,BIKANER,BIKANER (N) (CHHATARGARH),1520
1983,RJ,BIKANER,BIKANER (S),151
1984,RJ,BIKANER,BIKANER (W) (POOGAL),1523
1985,RJ,BIKANER,KOLAYAT-I (GODDO),1533
1986,RJ,BIKANER,KOLAYAT-II,1534
1987,RJ,BIKANER,KOLAYAT-III (BAJJU),1535
1988,RJ,BIKANER,KOLAYAT-IV (DAITRA),1536
1989,RJ,BIKANER,LUNKARANSAR-I (KANHOLI),1529
1990,RJ,BIKANER,LUNKARANSAR-III (RAJASARB),1527
1991,RJ,BIKANER,LUNKARANSAR-II (MAHAJAN),1526
1992,RJ,BIKANER,LUNKARANSAR-IV,1528
1993,RJ,BIKANER,NOKHA (E),1531
1994,RJ,BIKANER,NOKHA (W) (NATHUSAR),1532
1995,RJ,BUNDI,BUNDI,747
1996,RJ,BUNDI,HINDOLI,7436
1997,RJ,BUNDI,KESHORAIPATAN (PATAN),7438
1998,RJ,BUNDI,NAINWA,7437
1999,RJ,CHITTORGARH,BARISADRI,1473
2000,RJ,CHITTORGARH,BEGUN(N),1474
2001,RJ,CHITTORGARH,BEGUN(S) (RAWATBHATA),1475
2002,RJ,CHITTORGARH,CHITTORGARH,1472
2003,RJ,CHITTORGARH,DUNGLA,1470
2004,RJ,CHITTORGARH,KAPASAN,1476
2005,RJ,CHITTORGARH,NIMBAHERA,1477
2006,RJ,CHITTORGARH,PRATAPGARH (N),1478
2007,RJ,CHITTORGARH,PRATAPGARH (S) (ARNOD),1479
2008,RJ,CHITTORGARH,RASHMI,1471
2009,RJ,CHURU,CHURU,1562
2010,RJ,CHURU,RAJGARH,1559
2011,RJ,CHURU,RATANGARH,1567
2012,RJ,CHURU,SARDARSHAHAR (S),1564
2013,RJ,CHURU,SARDARSHAHAR (N)- JAITSISAR,1563
2014,RJ,CHURU,SRIDUNGARGARH (N)- DUNGARGH,1565
2015,RJ,CHURU,SRIDUNGARGARH (S) (SUDSAR),1566
2016,RJ,CHURU,SUJANGARH(C) (BIDASAR),1560
2017,RJ,CHURU,SUJANGARH (E),1568
2018,RJ,CHURU,SUJANGARH (W) (LALGARH),1569
2019,RJ,CHURU,TARANAGAR,1561
2020,RJ,JAIPUR,AMBER (CHOMU),1423
2021,RJ,JAIPUR,BASSI,1429
2022,RJ,JAIPUR,BASWA (BANDIKUI),1420
2023,RJ,JAIPUR,DAUSA,1427
2024,RJ,JAIPUR,DUDU,1428
2025,RJ,JAIPUR,JAIPUR,141
2026,RJ,JAIPUR,JAMWA-RAMGARH (ACHROL),1426
2027,RJ,JAIPUR,KOTPUTLI,1421
2028,RJ,JAIPUR,LALSOT,1431
2029,RJ,JAIPUR,PHAGI,1430
2030,RJ,JAIPUR,PHULERA (E) (RENWAL),1424
2031,RJ,JAIPUR,PHULERA (W) (SAMBHAR),1425
2032,RJ,JAIPUR,VIRATNAGAR (SHAHPURA),1422
2033,RJ,JAISALMER,JAISALMER-1 (RAMGARH),2991
2034,RJ,JAISALMER,JAISALMER-10 (KHURI),3014
2035,RJ,JAISALMER,JAISALMER-11 (JAISALMER),2992
2036,RJ,JAISALMER,JAISALMER-12 (DEVIKOT),2993
2037,RJ,JAISALMER,JAISALMER-13 (MYAJLAR),3015
2038,RJ,JAISALMER,JAISALMER-14 (JHEENJANIYALI),3016
2039,RJ,JAISALMER,JAISALMER-2 (SADHNA),3018
2040,RJ,JAISALMER,JAISALMER-3 (NEHDAI),2999
2041,RJ,JAISALMER,JAISALMER-4 (SHAHGARH),3010
2042,RJ,JAISALMER,JAISALMER-5 (KHUIYALS),2998
2043,RJ,JAISALMER,JAISALMER-6 (PASEWAR),3011
2044,RJ,JAISALMER,JAISALMER-7 (MOHARGARH),2997
2045,RJ,JAISALMER,JAISALMER-8 (MEHSANA),3012
2046,RJ,JAISALMER,JAISALMER-9 (DHANAUA),3013
2047,RJ,JAISALMER,POKRAN-1 (NACHNA),2995
2048,RJ,JAISALMER,POKRAN-2 (MADASAR),3017
2049,RJ,JAISALMER,POKRAN-3 (LOHARKI),2996
2050,RJ,JAISALMER,POKRAN-4 (POKRAN),2994
2051,RJ,JAISALMER,POKRAN-5 (PHALSOOND),3019
2052,RJ,JHALAWAR,AKLERA,7431
2053,RJ,JHALAWAR,GANGDHAR,7435
2054,RJ,JHALAWAR,JHALAWAR,7432
2055,RJ,JHALAWAR,KHANPUR,7430
2056,RJ,JHALAWAR,PACHPAHAR (BHAWANIMANDI),7433
2057,RJ,JHALAWAR,PIRAWA (RAIPUR),7434
2058,RJ,JHUNJHUNU,CHIRAWA,1596
2059,RJ,JHUNJHUNU,JHUNJHUNU (N) (BISSAU),1595
2060,RJ,JHUNJHUNU,JHUNJHUNU (S),1592
2061,RJ,JHUNJHUNU,KHETRI,1593
2062,RJ,JHUNJHUNU,UDAIPURWATI,1594
2063,RJ,JODHPUR,BILARA (N) (BHOPALGARH),2920
2064,RJ,JODHPUR,BILARA (S) (PIPARCITY),2930
2065,RJ,JODHPUR,JODHPUR (E),291
2066,RJ,JODHPUR,JODHPUR (W) (JHANWAR),2931
2067,RJ,JODHPUR,OSIAN (E) (DHANWARA),2927
2068,RJ,JODHPUR,OSIAN (N),2922
2069,RJ,JODHPUR,OSIAN (S) (MATHANIA),2926
2070,RJ,JODHPUR,PHALODI (E) (LOHAWAT),2923
2071,RJ,JODHPUR,PHALODI (N) (BAP),2921
2072,RJ,JODHPUR,PHALODI (S),2925
2073,RJ,JODHPUR,PHALODI (W) (BAROO),2924
2074,RJ,JODHPUR,SHERGARH (N) (BALESAR),2929
2075,RJ,JODHPUR,SHERGARH (N) (DEECHU),2928
2076,RJ,KOTA,ATRU,7451
2077,RJ,KOTA,BARAN,7453
2078,RJ,KOTA,CHHABRA,7452
2079,RJ,KOTA,CHHIPABORAD,7454
2080,RJ,KOTA,DIGOD (SULTANPUR),7455
2081,RJ,KOTA,KISHANGANJ (BHANWARGARH),7456
2082,RJ,KOTA,LADPURA (KOTA),744
2083,RJ,KOTA,MANGROL,7457
2084,RJ,KOTA,PIPALDA (SUMERGANJ MANDI),7458
2085,RJ,KOTA,RAMGANJ MANDI,7459
2086,RJ,KOTA,SAHABAD,7460
2087,RJ,KOTA,SANGOD,7450
2088,RJ,NAGAUR,DEEDWANA,1580
2089,RJ,NAGAUR,DEGANA,1587
2090,RJ,NAGAUR,JAYAL,1583
2091,RJ,NAGAUR,LADNUN,1581
2092,RJ,NAGAUR,MERTA (E) (MERTA-CITY),1590
2093,RJ,NAGAUR,MERTA (W) (GOTAN),1591
2094,RJ,NAGAUR,NAGAUR (E) (MUNDWA MARWAR),1584
2095,RJ,NAGAUR,NAGAUR (N),1582
2096,RJ,NAGAUR,NAGAUR (W) (KHINWSAR),1585
2097,RJ,NAGAUR,NAWA (KUCHAMANCITY),1586
2098,RJ,NAGAUR,PARBATSAR (N) (MAKRANA),1588
2099,RJ,NAGAUR,PARBATSAR (S),1589
2100,RJ,PALI (MARWAR),BALI (N) (SUMERPUR),2933
2101,RJ,PALI (MARWAR),BALI (S),2938
2102,RJ,PALI (MARWAR),DESURI (RANI),2934
2103,RJ,PALI (MARWAR),JAITARAN,2939
2104,RJ,PALI (MARWAR),MARWAR-Jn,2935
2105,RJ,PALI (MARWAR),PALI (N) (ROHAT),2936
2106,RJ,PALI (MARWAR),PALI (S),2932
2107,RJ,PALI (MARWAR),RAIPUR,2937
2108,RJ,PALI (MARWAR),SOJAT (SOJAT-CITY),2960
2109,RJ,SAWAIMADHOPUR,BAMANWAS,7467
2110,RJ,SAWAIMADHOPUR,BONLI,7466
2111,RJ,SAWAIMADHOPUR,GANGAPUR,7463
2112,RJ,SAWAIMADHOPUR,HINDAUN,7469
2113,RJ,SAWAIMADHOPUR,KARAULI,7464
2114,RJ,SAWAIMADHOPUR,KHANDAR,7468
2115,RJ,SAWAIMADHOPUR,MAHUWA,7461
2116,RJ,SAWAIMADHOPUR,SAPOTRA,7465
2117,RJ,SAWAIMADHOPUR,SAWAIMADHOPUR,7462
2118,RJ,SIKAR,DANTARAMGARH (E) (SHYAMJI),1576
2119,RJ,SIKAR,DANTARAMGARH (W),1577
2120,RJ,SIKAR,FATEHPUR,1571
2121,RJ,SIKAR,LAXMANGARH (E),1573
2122,RJ,SIKAR,LAXMANGARH (W) (NECHWA),1570
2123,RJ,SIKAR,NEEM KA THANA,1574
2124,RJ,SIKAR,SIKAR,1572
2125,RJ,SIKAR,SRIMADHOPUR,1575
2126,RJ,SIROHI (ABU ROAD),ABU ROAD,2974
2127,RJ,SIROHI (ABU ROAD),AHORE,2978
2128,RJ,SIROHI (ABU ROAD),BHINMAL (N),2969
2129,RJ,SIROHI (ABU ROAD),BHINMAL (S) (JASAWANTPURA),2990
2130,RJ,SIROHI (ABU ROAD),JALORE,2973
2131,RJ,SIROHI (ABU ROAD),JALORE (W) (SAYLA),2977
2132,RJ,SIROHI (ABU ROAD),PINDWARA,2971
2133,RJ,SIROHI (ABU ROAD),REODAR,2975
2134,RJ,SIROHI (ABU ROAD),SANCHORE (E),2979
2135,RJ,SIROHI (ABU ROAD),SANCHORE (W) (HADECHA),2970
2136,RJ,SIROHI (ABU ROAD),SHEOGANJ (POSALIYAN),2976
2137,RJ,SIROHI (ABU ROAD),SIROHI,2972
2138,RJ,SRIGANGANAGAR,ANUPGARH (E),1498
2139,RJ,SRIGANGANAGAR,ANUPGARH (W) (GHARSANA),1506
2140,RJ,SRIGANGANAGAR,BHADRA,1504
2141,RJ,SRIGANGANAGAR,HANUMANGARH,1552
2142,RJ,SRIGANGANAGAR,NOHAR(C) (RAWATSAR),1537
2143,RJ,SRIGANGANAGAR,NOHAR (E),1555
2144,RJ,SRIGANGANAGAR,NOHAR (W) (JEDASAR),1502
2145,RJ,SRIGANGANAGAR,PADAMPUR,1505
2146,RJ,SRIGANGANAGAR,RAISINGHNAGAR,1507
2147,RJ,SRIGANGANAGAR,SADULSHAHAR,1503
2148,RJ,SRIGANGANAGAR,SANGARIA,1499
2149,RJ,SRIGANGANAGAR,SRIGANGANAGAR,154
2150,RJ,SRIGANGANAGAR,SRIKARANPUR,1501
2151,RJ,SRIGANGANAGAR,SURATGARH (N) (GOLUWALA),1508
2152,RJ,SRIGANGANAGAR,SURATGARH (S),1509
2153,RJ,SRIGANGANAGAR,TIBBI,1539
2154,RJ,TONK,DEOLI,1434
2155,RJ,TONK,MALPURA,1437
2156,RJ,TONK,NEWAI,1438
2157,RJ,TONK,TODARAISINGH,1433
2158,RJ,TONK,TONK (N) (PIPLOO),1435
2159,RJ,TONK,TONK (S),1432
2160,RJ,TONK,UNIAYARA,1436
2161,RJ,UDAIPUR,AMET,2908
2162,RJ,UDAIPUR,BHIM (N),2951
2163,RJ,UDAIPUR,BHIM (S) (DAWER),2909
2164,RJ,UDAIPUR,DEOGARH,2904
2165,RJ,UDAIPUR,DHARIAWAD,2950
2166,RJ,UDAIPUR,GIRWA (UDAIPUR),294
2167,RJ,UDAIPUR,GOGUNDA,2956
2168,RJ,UDAIPUR,JHADOL,2959
2169,RJ,UDAIPUR,KHERWARA,2907
2170,RJ,UDAIPUR,KOTRA,2958
2171,RJ,UDAIPUR,KUMBALGARH (CHARBHUJAJI),2954
2172,RJ,UDAIPUR,MALVI (FATEHNAGAR),2955
2173,RJ,UDAIPUR,NATHDWARA,2953
2174,RJ,UDAIPUR,RAJSAMAND (KANKORLI),2952
2175,RJ,UDAIPUR,SALUMBER,2906
2176,RJ,UDAIPUR,SARADA (CHAWAND),2905
2177,RJ,UDAIPUR,VALLABHNAGAR,2957
2178,TN,CHENGALPATTU (KANCHEEPURAM),CHENGALPATTU,4114
2179,TN,CHENGALPATTU,KANCHEEPURAM,4112
2180,TN,CHENGALPATTU (KANCHEEPURAM),MADURANTAGAM,4115
2181,TN,CHENGALPATTU,PONNERI,4119
2182,TN,CHENGALPATTU (KANCHEEPURAM),SRIPERUMPUDUR,4111
2183,TN,CHENGALPATTU,TIRUTTANI,4118
2184,TN,CHENGALPATTU (KANCHEEPURAM),TIRUVELLORE,4116
2185,TN,CHENNAI,CHENNAI,44
2186,TN,COIMBATORE,ANAMALAI,4253
2187,TN,COIMBATORE,AVANASHI,4296
2188,TN,COIMBATORE,COIMBATORE,422
2189,TN,COIMBATORE,METTUPALAYAM,4254
2190,TN,COIMBATORE,PALLADUM,4255
2191,TN,COIMBATORE,POLLACHI,4259
2192,TN,COIMBATORE,TIRUPUR,421
2193,TN,COIMBATORE,UDUMALPET,4252
2194,TN,CUDDALORE,ARAKANDANALLUR,4153
2195,TN,CUDDALORE,CHIDAMBARAM,4144
2196,TN,CUDDALORE,CUDDALORE,4142
2197,TN,CUDDALORE,GINGEE,4145
2198,TN,CUDDALORE,KALLKURICHI,4151
2199,TN,CUDDALORE,TINDIVANAM,4147
2200,TN,CUDDALORE,ULUNDURPET,4149
2201,TN,CUDDALORE,VILLUPURAM,4146
2202,TN,CUDDALORE,VIRUDHACHALAM,4143
2203,TN,DHARMAPURI,DENKANIKOITAH,4347
2204,TN,DHARMAPURI,DHARMAPURI,4342
2205,TN,DHARMAPURI,HARUR,4346
2206,TN,DHARMAPURI,HOSUR,4344
2207,TN,DHARMAPURI,KRISHNAGIRI,4343
2208,TN,DHARMAPURI,PALACODE,4348
2209,TN,DHARMAPURI,UTHANGARAI,4341
2210,TN,ERODE,BHAVANI,4256
2211,TN,ERODE,DHARAMPURAM,4258
2212,TN,ERODE,ERODE,424
2213,TN,ERODE,GOBICHETTIPALAYAM,4285
2214,TN,ERODE,KANGAYAM,4257
2215,TN,ERODE,KODUMUDI,4204
2216,TN,ERODE,MULANUR,4202
2217,TN,ERODE,PERUNDURAI,4294
2218,TN,ERODE,SATHIYAMANGALAM,4295
2219,TN,KARAIKUDI,DEVAKOTTAI,4561
2220,TN,KARAIKUDI,KARAIKUDI,4565
2221,TN,KARAIKUDI,MANAMADURAI,4574
2222,TN,KARAIKUDI,MUDUKULATHUR,4576
2223,TN,KARAIKUDI,PARAMAKUDI,4564
2224,TN,KARAIKUDI,RAMANATHPURAM,4567
2225,TN,KARAIKUDI,RAMESHWARAM,4573
2226,TN,KARAIKUDI,SIVAGANGA,4575
2227,TN,KARAIKUDI,TIRUPATHUR,4577
2228,TN,MADURAI,BATLAGUNDU,4543
2229,TN,MADURAI,CUMBUM,4554
2230,TN,MADURAI,DINDIGUL,451
2231,TN,MADURAI,KODAIKANAL,4542
2232,TN,MADURAI,MADURAI,452
2233,TN,MADURAI,NATHAM,4544
2234,TN,MADURAI,ODDANCHATRAM,4553
2235,TN,MADURAI,PALANI,4545
2236,TN,MADURAI,THENI,4546
2237,TN,MADURAI,THIRUMANGLAM,4549
2238,TN,MADURAI,USILIAMPATTI,4552
2239,TN,MADURAI,VEDASANDUR,4551
2240,TN,NAGARCOIL,KUZHITHURAI,4651
2241,TN,NAGARCOIL,NAGERCOIL,4652
2242,TN,OOTY,GUDALUR,4262
2243,TN,OOTY,KOTAGIRI,4266
2244,TN,OOTY,OOTACAMUND,423
